Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-15,"Bowie State University, Bowie, MD",1500,Healthcare,Healthcare; For Affordable Care Act,Yes,http://www.capitalgazette.com/news/ph-ac-cn-aca-rally-0116-20170115-story.html,1
2017-01-16,"Johnson City, TN",300,Civil Rights,"Civil Rights; For racial justice; Martin Luther King, Jr.",Yes,http://www.johnsoncitypress.com/Local/2017/01/16/Hundreds-march-to-honor-Martin-Luther-King-Jr-in-Johnson-City.html?ci=featured&lp=46&ti=,4
2017-01-16,"Indianapolis, IN",20,Environment,Environment; For wilderness preservation,Yes,http://wishtv.com/2017/01/16/nature-groups-protest-deforestation-of-crown-hill-cemetery-land/,1
2017-01-16,"Cincinnati, OH",,Other (Martin Luther King Jr.),"Civil Rights; For racial justice; Martin Luther King, Jr.",Yes,http://www.cincinnati.com/picture-gallery/news/2017/01/16/mlk-coalition-march-downtown/96636250/,1
2017-01-18,"Hartford, CT",300,Healthcare (Pro-Planned Parenthood),Healthcare; For Planned Parenthood,Yes,http://www.realhartford.org/2017/01/19/reproductive-freedom-day-of-action/,1
2017-01-19,"Washington, DC",,Executive,Executive; Against 45th president,Yes,https://malvern-online.com/content/melee-near-trumps-parade-route-police-protesters-clash,1
2017-01-19,"Washington, DC",,Executive,Executive; For 45th president; Counter protest,No,https://malvern-online.com/content/melee-near-trumps-parade-route-police-protesters-clash,1
2017-01-20,"University of Washington, Seattle, WA",,Racial Injustice,Civil Rights; For racial justice; Against invited speaker,Yes,http://komonews.com/news/local/woman-says-she-shot-man-at-uw-protest-to-prevent-stabbing,2
2017-01-20,"Westlake Park, Seattle, WA",100,Executive,Executive; Against 45th president,Yes,https://www.seattletimes.com/seattle-news/northwest/how-the-shooting-at-the-uw-protest-of-milo-yiannopoulos-unfolded/,1
2017-01-20,"Columbus, OH",2450,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.cleveland.com/politics/index.ssf/2017/01/ohio_womens_march_draws_thousa.html,1
2017-01-20,"Anacortes, WA",1200,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html,1
2017-01-20,"Gainesville, FL",500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.gainesville.com/news/20170121/about-1500-join-womens-march-in-gainesville,1
2017-01-20,"Salt Lake City, UT",1000,Executive (Inauguration March),Executive; Against 45th president,Yes,http://www.sltrib.com/home/4843395-155/about-1000-utahns-rally-against-president,1
